T6 - 8Ago_Map_Midday,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column16,Column17,Column18,Column19,Column21,Column24,Column25
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI
12,45,10.2031,41.24414063,-7.114761353,-96.32,-577,-96.52,-576.1,153.4,35.59,45,999,17.7,258,0.79,0.26
12,45,10.5,41.24414063,-7.11476326,-96.51,-577.01,-96.65,-576.17,153.4,36.05,45,999,17.7,261,0.79,0.26
12,45,10.7969,41.24414063,-7.114765644,-96.69,-577.03,-96.9,-576.21,153.4,36.05,45,999,17.6,256,0.79,0.26
12,45,11.2969,41.24414063,-7.114767551,-96.88,-577.04,-97.05,-576.22,153.4,35.7,45,999,17.5,259,0.8,0.25
12,45,11.5,41.24414063,-7.114768505,-96.94,-577.05,-97.08,-576.3,153.4,35.7,45,999,17.5,260,0.8,0.25
12,45,11.7969,41.24414063,-7.114770412,-97.07,-577.06,-97.21,-576.22,153.4,35.7,45,999,17.6,261,0.77,0.25
12,45,12.2031,41.24414063,-7.11477232,-97.25,-577.07,-97.43,-576.16,153.4,35.7,45,999,17.6,259,0.77,0.26
12,45,12.3984,41.24414063,-7.11477375,-97.31,-577.08,-97.46,-576.16,153.4,35.7,45,999,17.6,261,0.77,0.26
12,45,12.7031,41.24414063,-7.114774704,-97.38,-577.08,-97.5,-576.44,153.4,35.7,45,999,17.6,260,0.77,0.26
12,45,13,41.24414063,-7.114776611,-97.56,-577.1,-97.69,-576.31,153.4,35.7,45,999,17.6,261,0.77,0.26
12,45,13.2969,41.24414063,-7.114778519,-97.75,-577.11,-97.91,-576.26,153.4,35.7,45,999,17.7,260,0.77,0.26
12,45,13.7031,41.244133,-7.114779472,-97.81,-578.35,-97.88,-577.45,153.4,35.7,45,999,17.7,266,0.79,0.28
12,45,14,41.244133,-7.114781857,-98,-578.36,-98.22,-577.51,153.3,35.47,45,999,17.7,256,0.79,0.28
12,45,14.2031,41.244133,-7.11478281,-98.06,-578.37,-98.21,-577.49,153.3,35.47,45,999,17.7,261,0.79,0.37
12,45,14.5,41.244133,-7.114784718,-98.25,-578.38,-98.41,-577.51,153.3,35.47,45,999,17.7,260,0.8,0.37
12,45,14.7969,41.244133,-7.114785671,-98.31,-578.39,-98.46,-577.47,153.3,35.7,45,999,17.7,261,0.8,0.37
12,45,15.1016,41.244133,-7.114786625,-98.37,-578.39,-98.51,-577.53,153.3,35.7,45,999,17.7,261,0.83,0.35
12,45,15.3984,41.244133,-7.114789009,-98.68,-578.09,-98.82,-577.26,153.3,35.7,45,999,17.7,261,0.83,0.35
12,45,15.6016,41.244133,-7.114790916,-98.8,-578.1,-98.95,-577.27,153.3,35.07,45,999,17.7,260,0.83,0.35
12,45,15.8984,41.244133,-7.11479187,-98.93,-578.29,-99.08,-577.41,153.3,35.07,45,999,17.8,261,0.83,0.22
12,45,16.1016,41.244133,-7.114792824,-98.99,-578.3,-99.14,-577.4,153.3,35.07,45,999,17.8,261,0.75,0.22
