T3 - 9Sep_MapMor_GT_832,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Irrig,Space,Scholand
11,4,19.1016,41.24419785,-7.114618778,-84.29,-571.48,0,0,153.2,25.54,23.2,1005,34.1,247,0.71,-1,,,,
11,4,19.3984,41.24419785,-7.114621162,-84.54,-571.5,-84.78,-570.97,153.2,0,23.2,1005,34.1,246,0,0,,,,
11,4,19.6016,41.24419785,-7.114621162,-84.54,-571.5,-84.9,-570.41,153.2,23.81,23.2,1005,34.1,252,0,0,,,,
11,4,20,41.24419022,-7.114624023,-84.79,-571.71,-85.21,-570.7,153.2,23.81,23.2,1005,34.1,248,0.74,0.22,,,,
11,4,20.2969,41.24419022,-7.114625931,-84.97,-571.73,-85.33,-570.71,153.2,23.81,23.2,1005,34.1,251,0.74,0.22,,,,
11,4,20.6016,41.24419022,-7.114626884,-85.04,-571.73,-85.47,-570.87,153.2,23.62,23.2,1005,34.1,244,0.71,0.22,,,,
11,4,20.8984,41.24419022,-7.114628315,-85.16,-571.74,-85.49,-570.84,153.2,23.62,23.2,1005,34.1,250,0.0227,-0.07,,,,
11,4,21.2031,41.24419022,-7.114630222,-85.35,-571.76,-85.68,-570.82,153.1,23.62,23.2,1005,34.1,251,0.0227,-0.07,,,,
11,4,21.5,41.24419022,-7.11463213,-85.47,-571.77,-85.89,-570.84,153.1,22.65,23.2,1005,34.1,246,0.59,-0.07,,,,
11,4,21.7969,41.24419022,-7.114633083,-85.59,-571.78,-86,-570.79,153.1,22.65,23.2,1005,34.1,248,0.59,0.08,,,,
11,4,22.1016,41.24419022,-7.114634037,-85.66,-571.78,-86.11,-570.82,153.1,22.65,23.2,1005,34.1,245,0.59,0.08,,,,
11,4,22.3984,41.24419022,-7.114634991,-85.72,-571.79,-86.14,-570.81,153.1,26.16,23.2,1005,34.1,247,0.63,0.02,,,,
11,4,22.7031,41.24419022,-7.114637375,-85.9,-571.8,-86.28,-570.77,153.1,26.16,23.2,1005,34.1,250,0.63,-1,32,60,3,10
11,4,22.8984,41.24419022,-7.114638329,-86.03,-571.81,-86.28,-571.19,153.1,26.16,23.2,1005,34.1,249,0.63,-1,32,60,3,10
11,4,23.1016,41.24419022,-7.114640236,-86.15,-571.82,-86.62,-570.88,153.1,25.36,23.2,1005,34.1,244,0.63,-1,32,60,3,10
11,4,23.5,41.24419022,-7.114642143,-86.34,-571.84,-86.72,-570.86,153.1,25.36,23.2,1005,34.1,249,0.63,-1,32,60,3,10
11,4,23.7969,41.24419022,-7.114643574,-86.4,-571.84,-86.86,-570.83,153.1,25.36,23.2,1005,34.1,246,0.63,-1,32,60,3,10
11,4,24.1016,41.24418259,-7.114645481,-86.59,-572.61,-86.98,-571.56,153,25.73,23.2,1005,34.1,250,0.76,0.03,32,60,3,10
11,4,24.3984,41.24418259,-7.114647388,-86.77,-572.63,-87.29,-571.62,153,25.73,23.2,1005.1,34.1,243,0.76,0.03,32,60,3,10
11,4,24.6016,41.24418259,-7.114648342,-86.83,-572.63,-87.34,-571.59,153,25.73,23.2,1005.1,34.1,244,0.76,0.03,32,60,3,10
11,4,24.8984,41.24418259,-7.114649296,-86.9,-572.64,-87.32,-571.61,153,25.31,23.2,1005.1,34.1,248,0.69,-0.03,32,60,3,10
11,4,25.1016,41.24418259,-7.114650249,-87.08,-572.32,-87.52,-571.35,153,25.31,23.2,1005.1,34.1,246,0.69,-0.03,32,60,3,10
11,4,25.3984,41.24418259,-7.114652634,-87.21,-572.33,-87.63,-571.39,153,25.31,23.2,1005.1,34.1,246,0.69,-0.03,32,60,3,10
11,4,25.7031,41.24418259,-7.114653587,-87.33,-572.34,-87.85,-571.37,153,25.31,23.2,1005.1,34.1,242,0.74,-0.05,32,60,3,10
11,4,25.8984,41.24418259,-7.114654541,-87.39,-572.34,-87.83,-571.32,153,26.33,23.2,1005.1,34.1,247,0.74,-0.05,32,60,3,10
11,4,26.2031,41.24418259,-7.114655495,-87.45,-572.35,-87.95,-571.37,153,26.33,23.2,1005.1,34.1,243,0.74,-0.05,32,60,3,10
11,4,26.5,41.24418259,-7.114657402,-87.64,-572.36,-88.08,-571.38,153,26.33,23.2,1005.1,34.1,246,0.71,-0.02,32,60,3,10
11,4,26.7031,41.24418259,-7.114658833,-87.76,-572.37,-88.24,-571.4,153,24.96,23.2,1005.1,34.1,244,0.71,-0.02,32,60,3,10
11,4,27,41.24418259,-7.114659786,-87.83,-572.38,-88.27,-571.41,153,24.96,23.2,1005.1,34.1,246,0.71,-0.02,32,60,3,10
11,4,27.2969,41.24418259,-7.114661694,-87.95,-572.39,-88.42,-571.45,153,24.96,23.2,1005.1,34.1,244,0.71,-0.02,32,60,3,10
11,4,27.6016,41.24418259,-7.114661694,-87.95,-572.39,-88.29,-571.38,152.9,26.77,23.2,1005.1,34.1,252,0.71,-0.02,32,60,3,10
11,4,27.8984,41.24417496,-7.114663601,-88.14,-572.93,-88.6,-571.92,152.9,26.77,23.2,1005.1,34.1,246,0.71,-0.02,32,60,3,10
11,4,28.1016,41.24417496,-7.114664555,-88.2,-572.93,-88.72,-571.96,152.9,26.77,23.2,1005.1,34.1,242,0.75,0.08,32,60,3,10
11,4,28.3984,41.24418259,-7.114664555,-88.2,-572.41,-88.51,-571.41,152.9,25.49,23.2,1005.1,34.1,253,0.75,0.08,32,60,3,10
