T5 - 10Sep_Morning930_GT,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Space,Irrig,Scholand
10,27,49.2031,41.24420547,-7.114588261,-81.81,-569.63,-82.15,-568.76,153.8,24.62,22.2,1003.7,42.6,249,0.92,0.08,,,,
10,27,49.5,41.24420547,-7.114589214,-81.87,-569.63,-82.26,-568.78,153.9,24.62,22.2,1003.7,42.6,246,0.92,0.08,,,,
10,27,49.7969,41.24420547,-7.114590645,-82,-569.64,-82.35,-568.76,153.9,24.62,22.2,1003.7,42.6,249,0.92,0.04,,,,
10,27,50,41.24420547,-7.114591599,-82.06,-569.65,-82.47,-568.61,153.8,24.62,22.2,1003.7,42.6,249,0.6,0.04,,,,
10,27,50.2969,41.24420547,-7.11459446,-82.31,-569.67,-82.77,-568.78,153.8,24.62,22.2,1003.7,42.6,243,0.6,0.04,,,,
10,27,50.6016,41.24420547,-7.114595413,-82.37,-569.67,-82.83,-568.78,153.8,24.62,22.2,1003.7,42.6,243,0.6,-0.03,,,,
10,27,50.7969,41.24420547,-7.114595413,-82.37,-569.67,-82.65,-568.7,153.8,24.62,22.2,1003.7,42.6,254,0.46,-0.03,,,,
10,27,51.1016,41.24420547,-7.114598751,-82.68,-569.7,-83.08,-568.77,153.8,24.17,22.2,1003.7,42.6,247,0.46,-0.03,,,,
10,27,51.3984,41.24419785,-7.114600658,-82.87,-571.32,-83.24,-570.43,153.8,24.17,22.2,1003.7,42.5,248,0.46,0.06,,,,
10,27,51.6016,41.24419785,-7.114601612,-82.93,-571.32,-83.31,-570.3,153.8,24.17,22.2,1003.7,42.5,250,0.52,0.06,,,,
10,27,51.8984,41.24419785,-7.114603519,-83.05,-571.34,-83.53,-570.37,153.8,24.17,22.2,1003.7,42.6,244,0.52,0.06,,,,
10,27,52.1016,41.24419785,-7.114603519,-83.05,-571.34,-83.43,-570.32,153.8,24.17,22.2,1003.7,42.6,250,0.52,0.06,,,,
10,27,52.3984,41.24419785,-7.114604473,-83.18,-571.35,-83.58,-570.38,153.8,24.17,22.2,1003.7,42.5,248,0.66,0.06,,,,
10,27,52.7031,41.24419785,-7.114606857,-83.3,-571.36,-83.66,-570.6,153.7,25.19,22.2,1003.7,42.6,245,0.66,0.06,,,,
10,27,53,41.24419785,-7.114607811,-83.36,-571.36,-83.64,-570.6,153.7,25.19,22.2,1003.7,42.6,250,0.66,0.06,,,,
10,27,53.2031,41.24419785,-7.114608765,-83.49,-571.37,-83.76,-570.46,153.7,25.19,22.2,1003.7,42.6,254,0.66,0.06,,,,
10,27,53.5,41.24419785,-7.114610672,-83.61,-571.05,-84.05,-570.16,153.7,25.19,22.2,1003.7,42.6,244,0.66,0.06,,,,
10,27,53.7969,41.24419785,-7.114613056,-83.86,-571.07,-84.24,-570.16,153.7,25.19,22.2,1003.7,42.6,248,0.66,-0.06,,,,
10,27,54.1016,41.24419785,-7.11461401,-83.92,-571.07,-84.31,-570.16,153.7,23.93,22.2,1003.7,42.6,247,0.61,-0.06,,,,
10,27,54.3984,41.24419785,-7.114614964,-83.98,-571.08,-84.3,-570.16,153.7,23.93,22.2,1003.7,42.6,251,0.61,-0.06,,,,
10,27,54.7031,41.24419785,-7.114616871,-84.17,-571.09,-84.51,-570.17,153.6,23.93,22.2,1003.7,42.6,250,0.61,-0.06,,,,
10,27,55.2031,41.24419785,-7.114618778,-84.29,-571.11,-84.56,-570.24,153.6,23.93,22.2,1003.7,42.5,253,0.62,-0.06,,,,
