T2 - 7Aug_MidSpaces_GT,,,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36,Column37,Column38,Column39
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRImed,Row,Irrig,Space,Scholander,,,
14,32,24.7031,41.24457932,-7.114989281,-115.42,-528.11,0,0,154.7,40.32,46.9,997,14.4,267.27,0.0678,0.295,8,15,4,-13.4,,,
14,32,24.8984,41.24457932,-7.114990234,-115.48,-528.12,-115.56,-527.15,154.7,0,46.9,997,14.4,265.66,0,0.295,8,15,4,-13.4,,,
14,32,25.2031,41.24457932,-7.114992142,-115.67,-528.13,-115.76,-527.19,154.7,40.23,46.9,997,14.4,265.06,0,0.295,8,15,4,-13.4,,,
14,32,25.3984,41.24457932,-7.114992142,-115.67,-528.13,-115.74,-527.23,154.7,40.23,46.9,997,14.4,265.63,0,0.295,8,15,4,-13.4,,,
14,32,25.6016,41.24457932,-7.114993095,-115.73,-528.14,-115.83,-527.27,154.7,40.23,46.9,997,14.4,263.72,0.76,0.295,8,15,4,-13.4,,,
14,32,25.8984,41.24457932,-7.11499548,-115.91,-528.15,-116,-527.27,154.7,40.23,46.9,997,14.4,264.74,0.76,0.295,8,15,4,-13.4,,,
14,32,26.1016,41.24457932,-7.11499548,-115.91,-528.15,-116.01,-527.24,154.7,40.32,46.9,997,14.4,263.85,0.76,0.295,8,15,4,-13.4,,,
14,32,26.2969,41.24457932,-7.114996433,-115.98,-528.16,-116.04,-527.24,154.7,40.32,46.9,997,14.4,266.66,0.76,0.295,8,15,4,-13.4,,,
14,32,26.6016,41.24457932,-7.114998341,-116.16,-528.18,-116.27,-527.26,154.7,40.32,46.9,997,14.4,263.51,0.77,0.295,8,15,4,-13.4,,,
14,32,26.7969,41.24457932,-7.114998341,-116.16,-528.18,-116.27,-527.26,154.7,40.32,46.9,997,14.5,263.37,0.77,0.295,8,15,4,-13.4,,,
14,32,27.1016,41.24457932,-7.114999294,-116.22,-528.18,-116.29,-527.29,154.6,39.97,46.9,997,14.5,265.8,0.77,0.295,8,15,4,-13.4,,,
14,32,27.3984,41.24457932,-7.115001202,-116.41,-528.2,-116.53,-527.37,154.6,39.97,46.9,997,14.5,262.38,0.67,0.295,8,15,4,-13.4,,,
14,32,27.6016,41.24457932,-7.115002632,-116.47,-528.2,-116.56,-527.4,154.6,39.97,46.9,997,14.5,264.2,0.67,0.295,8,15,4,-13.4,,,
14,32,27.8984,41.24457932,-7.115003586,-116.6,-528.21,-116.64,-527.46,154.6,40.07,46.9,997,14.5,266.99,0.67,0.295,8,15,4,-13.4,,,
14,32,28.1016,41.24457932,-7.115004539,-116.66,-528.22,-116.75,-527.47,154.6,40.07,46.9,997,14.5,263.57,0.8,0.295,8,15,4,-13.4,,,
14,32,28.5,41.24457932,-7.115005493,-116.72,-528.22,-116.76,-527.52,154.6,40.4,46.9,997,14.5,267.53,0.8,0.295,8,15,4,-13.4,,,
14,32,28.8984,41.24457169,-7.115007401,-116.91,-529.46,-116.99,-528.73,154.6,40.4,46.9,997,14.5,264.19,0.8,0.295,8,15,4,-13.4,,,
14,32,29.2969,41.24457169,-7.115008354,-117.03,-529.14,-117.08,-528.37,154.6,40.4,46.9,997,14.5,266.36,0.8,0.295,8,15,4,-13.4,,,
14,32,29.6016,41.24457169,-7.115008354,-117.03,-529.14,-117.08,-528.37,154.6,40.07,46.9,997,14.5,266.86,0.76,0.295,8,15,4,-13.4,,,
14,32,30,41.24457169,-7.115008354,-117.03,-529.14,-117.08,-528.37,154.6,40.07,46.9,997,14.5,266.84,0.76,0.295,8,15,4,-13.4,,,
14,32,30.3984,41.24457169,-7.115008354,-117.03,-529.14,-117.07,-528.37,154.6,40.26,46.9,997,14.6,267.61,0.74,0.295,8,15,4,-13.4,,,
14,33,39.7969,41.24449921,-7.115223408,-135.01,-537.17,-135.04,-536.24,154,37.88,46.3,997,15.1,268.53,0.8,0.51,8,15,9,-14,,,
14,33,40.1016,41.24449921,-7.115226269,-135.26,-537.19,-135.36,-536.29,154,37.88,46.3,997,15.1,264.25,0.8,0.51,8,15,9,-14,,,
14,33,40.3984,41.24449921,-7.115228176,-135.45,-537.21,-135.58,-536.31,154,37.88,46.3,997,15.1,262.35,0.8,0.51,8,15,9,-14,,,
14,33,40.7031,41.24449921,-7.11522913,-135.51,-537.21,-135.61,-536.31,154,37.88,46.3,997,15.1,263.82,0.8,0.51,8,15,9,-14,,,
14,33,40.8984,41.24449921,-7.11522913,-135.51,-537.21,-135.59,-536.32,154,37.88,46.3,997,15.1,265.28,0.8,0.51,8,15,9,-14,,,
14,33,41.2031,41.24449921,-7.115230083,-135.57,-537.22,-135.66,-536.3,154,37.88,46.2,997,15.1,264.64,0.77,0.51,8,15,9,-14,,,
14,33,41.5,41.24449921,-7.115232468,-135.82,-537.24,-135.92,-536.29,154,38.21,46.2,997,15.1,264.49,0.77,0.51,8,15,9,-14,,,
14,33,41.7031,41.24449921,-7.115233421,-135.88,-537.24,-135.94,-536.36,154,38.21,46.2,997,15.1,266.54,0.77,0.51,8,15,9,-14,,,
14,33,41.8984,41.24449921,-7.115234375,-135.94,-537.25,-136.11,-536.4,154,38.21,46.2,997,15.1,259.27,0.77,0.51,8,15,9,-14,,,
14,33,42.1016,41.24449921,-7.115234375,-135.94,-537.25,-136.02,-536.39,154,38.21,46.2,997,15.1,265.19,0.77,0.51,8,15,9,-14,,,
14,33,42.3984,41.24449921,-7.115235329,-136.01,-537.25,-136.05,-536.39,154,36.42,46.2,997,15,267.41,0.77,0.51,8,15,9,-14,,,
14,33,42.7031,41.24449921,-7.115236282,-136.13,-537.26,-136.25,-536.42,154,36.42,46.2,997,15,262,0.78,0.51,8,15,9,-14,,,
14,33,43,41.24449921,-7.115238667,-136.32,-537.28,-136.36,-536.48,154,36.42,46.2,997,15,267.28,0.78,0.51,8,15,9,-14,,,
14,33,43.2031,41.24449921,-7.11523962,-136.38,-537.28,-136.46,-536.51,154,36.01,46.2,997,15,264.47,0.78,0.51,8,15,9,-14,,,
14,33,43.5,41.24449921,-7.115240574,-136.5,-537.29,-136.62,-536.42,154,36.01,46.2,997,15,262.3,0.8,0.51,8,15,9,-14,,,
14,33,43.7969,41.24449921,-7.115241528,-136.56,-537.3,-136.6,-536.47,154,36.01,46.2,997,15,267.8,0.8,0.51,8,15,9,-14,,,
14,33,44.2031,41.24449921,-7.115243435,-136.69,-537.31,-136.78,-536.48,154,37.33,46.2,997,15,264.33,0.8,0.51,8,15,9,-14,,,
14,33,44.7969,41.24449921,-7.115246773,-137,-537.33,-137.07,-536.52,154,37.33,46.2,997,15,265.25,0.79,0.51,8,15,9,-14,,,
14,33,45.6016,41.24449158,-7.115249634,-137.25,-538.58,-137.33,-537.81,154,37.83,46.1,997,15,264.14,0.86,0.51,8,15,9,-14,,,
14,33,45.8984,41.24449158,-7.115250587,-137.31,-538.59,-137.37,-537.78,154,37.57,46.1,997,15,266.42,0.86,0.51,8,15,9,-14,,,
14,33,46.2969,41.24449158,-7.115252495,-137.49,-538.6,-137.61,-537.8,153.9,37.57,46.1,997,15,262.03,0.86,0.51,8,15,9,-14,,,
14,33,46.6016,41.24449158,-7.115254879,-137.62,-538.61,-137.68,-537.86,153.9,37.54,46.1,997,15,265.54,0.86,0.51,8,15,9,-14,,,
14,33,46.8984,41.24449158,-7.115255833,-137.74,-538.62,-137.82,-537.87,153.9,37.54,46.1,997,15.1,264.7,0.85,0.51,8,15,9,-14,,,
14,33,47.2031,41.24449158,-7.115256786,-137.87,-538.3,-137.94,-537.48,153.9,37.54,46.1,997,15.1,265.39,0.85,0.51,8,15,9,-14,,,
14,33,47.6016,41.24449158,-7.115258694,-138.05,-538.32,-138.17,-537.49,153.9,37.56,46.1,997,15.1,262.34,0.8,0.51,8,15,9,-14,,,
14,33,48,41.24449158,-7.115260601,-138.18,-538.33,-138.26,-537.46,153.9,37.56,46.1,997,15.1,264.97,0.8,0.51,8,15,9,-14,,,
14,33,48.2969,41.24449158,-7.115262985,-138.36,-538.34,-138.49,-537.42,153.9,37.82,46.1,997,15.2,262.13,0.82,0.51,8,15,9,-14,,,
14,33,48.6016,41.24449158,-7.115263939,-138.42,-538.35,-138.47,-537.45,153.9,37.82,46.1,997,15.2,266.96,0.0587,0.51,8,15,9,-14,,,
14,33,48.8984,41.24449158,-7.115264893,-138.55,-538.36,-138.72,-537.45,153.9,37.82,46.1,997,15.3,259.99,0.0587,0.51,8,15,9,-14,,,
14,33,49.3984,41.24449158,-7.1152668,-138.67,-538.37,-138.77,-537.5,153.9,38.52,46,997,15.4,263.67,0.0587,0.51,8,15,9,-14,,,
14,33,49.7031,41.24449158,-7.115267754,-138.8,-538.38,-138.9,-537.61,153.9,38.52,46,997,15.4,262.72,0.0587,0.51,8,15,9,-14,,,
14,33,50,41.24449158,-7.115270138,-138.92,-538.39,-139,-537.67,153.9,38.64,46,997,15.4,263.92,0.0587,0.51,8,15,9,-14,,,
14,33,50.2969,41.24449158,-7.115271091,-139.05,-538.4,-139.12,-537.73,153.9,38.64,46,997,15.4,264.56,0.0587,0.51,8,15,9,-14,,,
14,33,50.7031,41.24448395,-7.115272045,-139.11,-539.11,-139.21,-538.39,153.9,38.64,46,997,15.5,262.38,0.82,0.51,8,15,9,-14,,,
14,33,51.1016,41.24448395,-7.115272999,-139.17,-539.12,-139.19,-538.33,153.9,38.49,46,997,15.5,268.63,0.82,0.51,8,15,9,-14,,,
14,33,51.3984,41.24448395,-7.115273952,-139.29,-539.13,-139.4,-538.38,153.9,38.49,46,997,15.5,261.82,0.75,0.51,8,15,9,-14,,,
14,33,51.7969,41.24448395,-7.11527729,-139.54,-539.15,-139.63,-538.41,153.9,37.63,46,997,15.5,263.42,0,0.51,8,15,9,-14,,,
14,33,52.2031,41.24448395,-7.115278244,-139.6,-539.15,-139.67,-538.31,153.9,37.63,46,997,15.4,265.68,0,0.51,8,15,9,-14,,,
14,33,52.6016,41.24448395,-7.115280151,-139.79,-539.17,-139.88,-538.36,153.9,38.48,46,997,15.3,264.3,0.76,0.51,8,15,9,-14,,,
